id,year,marital,age,educ,race,income,xnorcsiz,partyid,ballot
1972311,1972,4,42,12,2,-100,9,5,-100
1972312,1972,4,55,11,2,-100,9,5,-100
1972313,1972,1,24,12,2,-100,9,0,-100
1972314,1972,4,30,7,2,-100,9,1,-100
1972315,1972,5,70,0,2,-100,9,0,-100
1972316,1972,2,43,7,2,-100,9,5,-100
1972317,1972,1,45,11,1,-100,3,2,-100
1972318,1972,1,25,16,1,-100,3,0,-100
1972319,1972,3,37,0,1,-100,3,7,-100
1972320,1972,5,22,14,1,-100,3,1,-100
1972321,1972,5,27,8,1,-100,3,7,-100
1972322,1972,5,28,18,1,-100,3,0,-100
1972323,1972,3,42,12,1,-100,3,1,-100
1972324,1972,5,42,3,1,-100,3,7,-100
1972325,1972,1,30,12,1,-100,3,1,-100
1972326,1972,1,40,12,1,-100,3,2,-100
1972327,1972,1,37,18,1,-100,3,4,-100
1972328,1972,5,24,16,1,-100,3,2,-100
1972329,1972,1,46,12,1,-100,3,5,-100
1972330,1972,1,53,12,1,-100,3,2,-100
1972331,1972,1,64,11,1,-100,3,2,-100
1972332,1972,1,20,13,1,-100,3,1,-100
1972333,1972,1,60,8,1,-100,8,6,-100
1972334,1972,1,33,16,1,-100,8,6,-100
1972335,1972,5,70,16,1,-100,8,7,-100
1972336,1972,1,60,3,1,-100,8,5,-100
1972337,1972,1,26,11,1,-100,8,7,-100
1972338,1972,2,74,3,1,-100,8,7,-100
1972339,1972,1,33,11,1,-100,8,6,-100
1972340,1972,1,23,11,2,-100,7,1,-100
1972341,1972,5,19,12,2,-100,7,1,-100
1972342,1972,1,59,4,2,-100,7,0,-100
1972343,1972,1,70,9,2,-100,7,7,-100
1972344,1972,1,52,2,2,-100,7,1,-100
1972345,1972,2,-99,0,2,-100,7,7,-100
1972346,1972,2,75,2,2,-100,7,1,-100
1972347,1972,1,49,8,1,-100,8,0,-100
1972348,1972,1,49,8,1,-100,8,1,-100
1972349,1972,1,46,14,1,-100,8,5,-100
1972350,1972,2,45,12,1,-100,8,1,-100
1972351,1972,5,28,17,1,-100,8,1,-100
1972352,1972,1,23,12,1,-100,8,2,-100
1972353,1972,1,64,12,1,-100,8,0,-100
1972354,1972,1,33,12,2,-100,1,0,-100
1972355,1972,1,69,6,2,-100,1,0,-100
1972356,1972,1,72,5,2,-100,1,0,-100
1972357,1972,1,59,8,2,-100,1,0,-100
1972358,1972,1,69,6,2,-100,1,0,-100
1972359,1972,1,58,9,2,-100,1,0,-100
1972360,1972,3,53,9,2,-100,1,1,-100
1972361,1972,2,62,5,2,-100,1,0,-100
1972362,1972,1,58,8,1,-100,10,3,-100
1972363,1972,1,32,14,1,-100,10,5,-100
1972364,1972,1,58,12,1,-100,10,1,-100
1972365,1972,1,70,12,1,-100,10,5,-100
1972366,1972,1,69,8,1,-100,10,5,-100
1972367,1972,1,36,10,1,-100,10,5,-100
1972368,1972,1,47,9,1,-100,10,4,-100
1972369,1972,1,31,12,1,-100,1,0,-100
1972370,1972,2,81,5,1,-100,1,1,-100
1972371,1972,1,24,12,1,-100,1,3,-100
1972372,1972,1,51,12,1,-100,1,5,-100
1972373,1972,2,69,3,1,-100,1,0,-100
1972374,1972,1,30,12,1,-100,1,1,-100
1972375,1972,5,69,12,1,-100,1,3,-100
1972376,1972,1,45,11,1,-100,1,1,-100
1972377,1972,1,24,12,1,-100,5,5,-100
1972378,1972,1,66,7,1,-100,5,5,-100
1972379,1972,1,29,12,1,-100,5,5,-100
1972380,1972,1,57,8,1,-100,5,5,-100
1972381,1972,1,58,8,1,-100,5,5,-100
1972382,1972,2,77,8,1,-100,5,6,-100
1972383,1972,1,30,18,1,-100,5,1,-100
1972384,1972,2,56,12,1,-100,5,5,-100
1972385,1972,1,49,13,1,-100,10,6,-100
1972386,1972,1,52,10,1,-100,10,1,-100
1972387,1972,1,40,7,1,-100,10,1,-100
1972388,1972,1,48,14,1,-100,10,1,-100
1972389,1972,1,47,6,1,-100,10,1,-100
1972390,1972,1,31,14,1,-100,10,0,-100
1972391,1972,5,21,13,2,-100,10,1,-100
1972392,1972,2,84,8,2,-100,2,0,-100
1972393,1972,2,61,9,2,-100,2,0,-100
1972394,1972,4,46,13,2,-100,2,0,-100
1972395,1972,4,39,16,2,-100,2,0,-100
1972396,1972,3,64,11,2,-100,2,0,-100
1972397,1972,1,77,4,2,-100,2,0,-100
1972398,1972,5,25,14,2,-100,2,7,-100
1972399,1972,4,53,7,2,-100,2,1,-100
1972400,1972,1,52,10,2,-100,2,0,-100
1972401,1972,5,71,6,1,-100,9,1,-100
1972402,1972,1,52,8,1,-100,9,1,-100
1972403,1972,1,57,7,1,-100,9,1,-100
1972404,1972,1,69,8,1,-100,9,1,-100
1972405,1972,1,74,9,1,-100,9,1,-100
1972406,1972,1,58,12,1,-100,9,3,-100
1972407,1972,1,23,12,1,-100,9,5,-100
1972408,1972,1,61,8,1,-100,10,6,-100
1972409,1972,2,60,11,1,-100,10,5,-100
1972410,1972,1,36,8,1,-100,10,1,-100
1972411,1972,1,58,17,1,-100,10,6,-100
1972412,1972,1,28,4,1,-100,10,6,-100
1972413,1972,1,29,2,1,-100,10,5,-100
1972414,1972,1,25,11,1,-100,10,6,-100
1972415,1972,5,57,12,1,-100,2,2,-100
1972416,1972,1,26,12,1,-100,2,2,-100
1972417,1972,1,55,11,1,-100,2,0,-100
1972418,1972,5,29,17,1,-100,2,1,-100
1972419,1972,1,68,7,1,-100,2,6,-100
1972420,1972,5,18,12,1,-100,2,1,-100
1972421,1972,1,49,10,1,-100,2,0,-100
1972422,1972,1,64,12,1,-100,2,1,-100
1972423,1972,1,38,12,1,-100,3,1,-100
1972424,1972,1,30,9,1,-100,3,3,-100
1972425,1972,2,56,10,1,-100,3,5,-100
1972426,1972,1,20,12,1,-100,3,1,-100
1972427,1972,5,19,12,1,-100,3,2,-100
1972428,1972,1,50,9,1,-100,3,1,-100
1972429,1972,1,38,14,1,-100,3,3,-100
1972430,1972,1,64,12,1,-100,3,4,-100
1972431,1972,1,74,11,1,-100,1,5,-100
1972432,1972,2,75,12,1,-100,1,1,-100
1972433,1972,5,22,11,1,-100,1,1,-100
1972434,1972,2,75,8,1,-100,1,4,-100
1972435,1972,5,23,16,1,-100,1,2,-100
1972436,1972,2,79,12,1,-100,1,1,-100
1972437,1972,1,60,7,1,-100,1,1,-100
1972438,1972,1,26,15,1,-100,1,5,-100
1972439,1972,1,63,12,1,-100,1,0,-100
1972440,1972,1,63,9,1,-100,10,1,-100
1972441,1972,1,34,12,1,-100,10,1,-100
1972442,1972,1,33,9,1,-100,10,3,-100
1972443,1972,1,53,12,1,-100,10,3,-100
1972444,1972,1,78,15,1,-100,10,1,-100
1972445,1972,1,22,11,1,-100,10,1,-100
1972446,1972,5,32,10,1,-100,10,0,-100
1972447,1972,5,27,13,2,-100,1,0,-100
1972448,1972,1,35,15,2,-100,1,2,-100
1972449,1972,1,39,12,2,-100,1,0,-100
1972450,1972,1,24,14,2,-100,1,1,-100
1972451,1972,5,22,12,2,-100,1,0,-100
1972452,1972,1,28,12,2,-100,1,2,-100
1972453,1972,1,57,13,2,-100,1,0,-100
1972454,1972,1,48,14,2,-100,1,0,-100
1972455,1972,1,26,12,2,-100,1,0,-100
1972456,1972,2,50,8,1,-100,1,0,-100
1972457,1972,1,32,12,1,-100,1,0,-100
1972458,1972,1,56,8,1,-100,1,0,-100
1972459,1972,5,26,12,1,-100,1,1,-100
1972460,1972,1,30,12,1,-100,1,7,-100
1972461,1972,2,83,4,1,-100,1,1,-100
1972462,1972,3,26,12,1,-100,1,0,-100
1972463,1972,5,20,9,1,-100,1,1,-100
1972464,1972,1,41,12,1,-100,1,0,-100
1972465,1972,1,56,7,1,-100,10,1,-100
1972466,1972,1,83,6,1,-100,10,0,-100
1972467,1972,1,27,5,1,-100,10,4,-100
1972468,1972,1,21,5,1,-100,10,2,-100
1972469,1972,5,19,12,1,-100,10,1,-100
1972470,1972,1,41,12,1,-100,10,0,-100
1972471,1972,1,35,12,1,-100,10,2,-100
1972472,1972,1,57,9,1,-100,10,5,-100
1972473,1972,1,42,12,1,-100,10,1,-100
1972474,1972,1,54,10,1,-100,10,1,-100
1972475,1972,1,24,12,1,-100,10,7,-100
1972476,1972,1,62,8,1,-100,10,1,-100
1972477,1972,1,39,8,1,-100,10,7,-100
1972478,1972,1,24,11,1,-100,10,5,-100
1972479,1972,5,66,12,1,-100,4,5,-100
1972480,1972,1,55,11,1,-100,4,5,-100
1972481,1972,5,25,12,1,-100,4,6,-100
1972482,1972,2,61,12,1,-100,4,6,-100
1972483,1972,2,62,11,1,-100,4,6,-100
1972484,1972,1,29,19,1,-100,4,7,-100
1972485,1972,1,27,16,1,-100,4,4,-100
1972486,1972,1,44,12,1,-100,4,5,-100
1972487,1972,1,44,12,1,-100,8,2,-100
1972488,1972,1,34,12,1,-100,8,3,-100
1972489,1972,1,23,11,1,-100,8,3,-100
1972490,1972,2,58,12,1,-100,8,6,-100
1972491,1972,5,24,16,1,-100,8,2,-100
1972492,1972,1,34,11,1,-100,8,3,-100
1972493,1972,1,42,12,1,-100,8,1,-100
1972494,1972,1,32,12,1,-100,8,5,-100
1972495,1972,1,52,7,1,-100,5,1,-100
1972496,1972,5,22,12,1,-100,5,1,-100
1972497,1972,1,35,10,1,-100,5,1,-100
1972498,1972,1,45,14,1,-100,5,0,-100
1972499,1972,1,30,10,1,-100,5,5,-100
1972500,1972,1,35,9,1,-100,5,0,-100
1972501,1972,1,36,8,1,-100,5,0,-100
1972502,1972,1,57,8,1,-100,5,1,-100
1972503,1972,4,28,17,1,-100,7,5,-100
1972504,1972,1,42,16,1,-100,7,0,-100
1972505,1972,1,23,12,1,-100,7,2,-100
1972506,1972,1,53,15,1,-100,7,4,-100
1972507,1972,1,22,12,1,-100,7,5,-100
1972508,1972,1,60,12,1,-100,7,1,-100
1972509,1972,1,56,12,1,-100,7,1,-100
1972510,1972,5,24,15,1,-100,10,1,-100
1972511,1972,1,26,12,1,-100,10,1,-100
1972512,1972,1,55,13,1,-100,10,7,-100
1972513,1972,5,20,13,1,-100,10,3,-100
1972514,1972,1,30,12,1,-100,10,1,-100
1972515,1972,1,26,14,1,-100,10,2,-100
1972516,1972,1,36,12,1,-100,10,1,-100
1972517,1972,1,42,11,1,-100,10,5,-100
1972518,1972,1,28,16,1,-100,10,1,-100
1972519,1972,1,54,12,1,-100,10,1,-100
1972520,1972,1,49,12,1,-100,10,4,-100
1972521,1972,1,30,12,1,-100,10,1,-100
1972522,1972,1,40,16,1,-100,10,4,-100
1972523,1972,1,55,12,1,-100,7,5,-100
1972524,1972,2,74,6,1,-100,7,0,-100
1972525,1972,1,48,8,1,-100,7,5,-100
1972526,1972,2,63,12,1,-100,7,5,-100
1972527,1972,2,72,10,1,-100,7,5,-100
1972528,1972,1,30,11,1,-100,7,2,-100
1972529,1972,1,78,8,1,-100,7,5,-100
1972530,1972,1,44,8,1,-100,7,1,-100
1972531,1972,1,48,13,1,-100,4,0,-100
1972532,1972,1,29,12,1,-100,4,5,-100
1972533,1972,5,21,13,1,-100,4,1,-100
1972534,1972,5,20,13,1,-100,4,4,-100
1972535,1972,1,52,12,1,-100,4,0,-100
1972536,1972,1,40,14,1,-100,4,4,-100
1972537,1972,1,42,16,1,-100,4,1,-100
1972538,1972,1,54,14,1,-100,4,6,-100
1972539,1972,1,43,12,1,-100,4,3,-100
1972540,1972,1,25,12,1,-100,10,3,-100
1972541,1972,1,28,12,1,-100,10,1,-100
1972542,1972,4,43,12,1,-100,10,1,-100
1972543,1972,1,45,10,1,-100,10,0,-100
1972544,1972,1,48,13,1,-100,10,1,-100
1972545,1972,1,36,14,1,-100,10,5,-100
1972546,1972,1,28,14,1,-100,10,3,-100
1972547,1972,1,27,12,1,-100,10,4,-100
1972548,1972,1,52,8,1,-100,9,0,-100
1972549,1972,1,20,12,1,-100,9,5,-100
